RFQ ID,Title,Buyer Name,Buyer Image,Inquiry Time,Quotes Left,Country,Quantity Required,Email Confirmed,Experienced Buyer,Complete Order via RFQ,Typical Replies,Interactive User,Inquiry URL,Inquiry Date,Scraping Date
N/A,Scope red dot combo,,N/A,"Date Posted:
2 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1MjpQ6GpmNi81oC0H7RRmtxJ0C1MMUEo5V_pijeCIF4SAcPocNbbQFrQI2_lJl-dM&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Flatbed Die Cutter,,N/A,"Date Posted:
3 hours before",6,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1MjpQ6GpmNi81oC0H7RRmtzYGC-mg8NH_-uz5sv2HUjRat5x1L4fpGB1axiG_gJBe&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Mens Sneakers 2025-Running Shoes for Men,,N/A,"Date Posted:
3 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1C74HI6GczA0FRTc1Ho9edot8fzFP8sWwMUTNXa94PcB_-YDb-2sKixxN_76R12yz&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Summer Fashion Letter Loose Printed Round Neck Heavyweight Cotton Trendy Couple Short Sleeve Top T-shirt Men's Top,,N/A,"Date Posted:
4 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1C74HI6GczA0FRTc1Ho9edkUSzLqWafR6GgYsYdoVDLZ33gk2_ax8EgmBGTqNU35g&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Custom Balcony Enclosure,,N/A,"Date Posted:
6 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1NXuiDqfIg6ZF7Dawpj9paHc6TY7d_uoyGITFVbWeLTkw_lnPHtEHSIxB9v3Sspk3&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Shape Sorter Wooden Toy For Toddlers Wooden Shape Color Sorting Preschool Stacking Blocks Toddler ...,,N/A,"Date Posted:
6 hours before",6,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1NXuiDqfIg6ZF7Dawpj9paMKdY4Z4FZFQ7BCEv7shRMeKAP13yreGzktNi_s22T7s&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,TOP Printable PP Waterproof Self-adhesive Glossy Matte Decal Paper Sheet for Inkjet Laser Printer A4 Vinyl Label Sticker Paper,,N/A,"Date Posted:
8 hours before",4,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP3BazBIJ1EIpy04bjOL99rTwZ1p2CCZq8_6fy_j1Myo8&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,4 Flavors Strawberry Lip Balm,,N/A,"Date Posted:
8 hours before",8,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP4v5t7MNwjH2Q-yr-D5q-zxm-x8NXfS1h1LUAk9Azich&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,business bags and tissue paper with logo,,N/A,"Date Posted:
8 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP9PJIUOEDEqdVBzmc6135FvNqGeYNTv4twg7C-rY3wVD&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Shoe box storage,,N/A,"Date Posted:
10 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1fmY5m1sy2tRql7e_i0GwDNiPX2EwMWcaLL60xf1E031JLNOvE2OX6957z3wOre-X&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
